Date, Open, High, Low, Close, Volume
11/13/24, 309.49, 310.9485, 307.84, 309.48, 4046544
11/12/24, 309.04, 310.55, 308.11, 309.85, 4616616
11/11/24, 310.09, 312.44, 309.30, 310.92, 4674088
11/08/24, 306.89, 311.15, 305.69, 307.87, 6240616
11/07/24, 307.50, 307.63, 304.42, 305.80, 6237348
11/06/24, 306.32, 309.00, 302.8201, 307.40, 10320480
11/05/24, 291.71, 294.78, 291.58, 293.29, 3753721
11/04/24, 291.55, 293.15, 290.76, 291.85, 4281721
11/01/24, 288.49, 292.67, 287.19, 290.74, 5471088
10/31/24, 292.09, 296.34, 289.621, 289.85, 7950228
10/30/24, 292.34, 295.78, 288.33, 290.16, 9606784
10/29/24, 284.27, 285.70, 281.35, 281.88, 7534759
10/28/24, 282.04, 284.64, 281.53, 284.19, 4306240
10/25/24, 284.00, 285.09, 280.7801, 281.73, 4464561
10/24/24, 282.39, 283.62, 281.73, 283.22, 4680151
10/23/24, 286.04, 286.055, 283.53, 283.76, 5249255
10/22/24, 285.05, 286.53, 283.53, 284.79, 5736450
10/21/24, 289.60, 290.44, 286.33, 286.85, 6313148
10/18/24, 289.92, 291.04, 288.08, 290.62, 5350923
10/17/24, 288.57, 290.93, 287.61, 290.39, 8815841
10/16/24, 278.62, 287.60, 278.35, 287.52, 9442687
10/15/24, 281.00, 282.64, 278.83, 279.29, 5807021
10/14/24, 279.08, 281.3699, 277.99, 280.68, 3996620
10/11/24, 276.04, 278.80, 275.37, 277.84, 4746446
10/10/24, 276.78, 277.67, 275.35, 277.47, 4063891
10/09/24, 275.00, 277.49, 274.42, 276.93, 4115807
10/08/24, 274.71, 276.10, 274.01, 274.96, 4370915
10/07/24, 277.60, 277.615, 273.24, 273.79, 4339337
10/04/24, 277.35, 278.44, 275.10, 277.93, 4260920
10/03/24, 276.67, 277.69, 275.84, 276.86, 3036651
10/02/24, 276.57, 277.64, 275.37, 277.00, 4741561
10/01/24, 276.97, 279.06, 274.36, 277.60, 5781564
09/30/24, 275.00, 275.69, 273.20, 274.95, 5971352
09/27/24, 273.16, 277.98, 272.78, 275.17, 6509578
09/26/24, 270.50, 273.24, 270.00, 271.69, 9552507
09/25/24, 274.19, 274.25, 268.23, 269.63, 11671270
09/24/24, 280.18, 281.00, 272.71, 272.78, 13690160
09/23/24, 284.90, 288.88, 284.62, 288.63, 6505632
09/20/24, 285.50, 287.00, 283.25, 284.77, 27810930
09/19/24, 291.09, 291.4775, 282.87, 285.24, 10382070
09/18/24, 291.84, 292.02, 288.13, 288.48, 5889996
09/17/24, 290.90, 293.07, 290.085, 291.56, 5135913
09/16/24, 288.05, 290.90, 287.74, 290.48, 4458865
09/13/24, 286.49, 288.74, 285.55, 287.35, 4987643
09/12/24, 284.00, 286.00, 281.47, 285.37, 4161170
09/11/24, 285.02, 285.17, 278.30, 283.96, 6281968
09/10/24, 285.93, 286.3981, 283.57, 285.34, 5314413
09/09/24, 282.09, 286.97, 281.65, 285.61, 10933860
09/06/24, 277.77, 280.28, 277.43, 279.37, 7187805
09/05/24, 281.00, 281.50, 277.41, 278.62, 6447539
09/04/24, 278.71, 281.645, 278.70, 280.49, 6107450
09/03/24, 276.37, 282.09, 276.37, 278.54, 7277700
08/30/24, 275.00, 276.99, 274.26, 276.37, 6296089
08/29/24, 270.98, 275.99, 270.45, 274.32, 5565085
08/28/24, 271.16, 271.98, 267.67, 269.19, 5455098
08/27/24, 268.52, 270.95, 267.89, 270.72, 6594067
08/26/24, 267.72, 270.37, 267.67, 268.21, 4612181
08/23/24, 268.70, 269.21, 265.31, 267.44, 3697448
08/22/24, 268.94, 269.50, 266.57, 267.94, 4425444
08/21/24, 268.56, 269.27, 267.39, 268.20, 6639748
08/20/24, 267.00, 268.04, 265.78, 268.04, 6803575
08/19/24, 267.42, 268.3106, 265.23, 266.47, 6555945
